precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR. 17 (ȘCOALA GENERALĂ ”NICHITA STĂNESCU” - ȘCOALA GENERALĂ NR. 17)",62,"MUNICIPIUL GALAŢI",75098,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:18:23",1824,1824,0,256,234,0,22,2011,1755,241,15,2,6,3,15,3,2,16,5,47,9,3,2,6,101,16,5
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR. 17 (ȘCOALA GENERALĂ ”NICHITA STĂNESCU” - ȘCOALA GENERALĂ NR. 17)",61,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:35",1860,1860,0,202,193,0,9,2063,1861,190,12,4,9,2,15,7,1,18,5,29,2,1,0,1,88,4,4
18,GALAŢI,"”ȘCOALA GIMNAZIALĂ NR. 1 BĂLENI”",232,BĂLENI,75668,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:48:39",944,944,0,455,433,0,22,1032,577,441,14,1,0,1,8,4,2,24,4,46,2,4,1,0,338,3,3
18,GALAŢI,"”ȘCOALA GIMNAZIALĂ NR. 1 BĂLENI”",231,BĂLENI,75668,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:00:38",912,912,0,440,382,0,58,1005,565,417,23,4,6,0,10,6,2,20,5,50,3,0,1,0,304,3,3
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NR.1 BUCEȘTI",330,IVEŞTI,76601,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:16:56",1699,1699,0,795,747,0,48,1474,679,726,69,5,5,1,48,8,3,31,8,99,0,3,2,4,498,8,3
18,GALAŢI,"SCOALA GIMNAZIALA NR. 1 CHIRAFTEI",348,MĂSTĂCANI,76718,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:36:39",1054,1054,0,504,465,0,39,1152,648,468,36,1,6,2,28,5,3,37,2,94,5,4,3,7,256,13,2
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NR.1 COASTA LUPEI",362,NICOREŞTI,76807,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:31:50",301,301,0,181,170,0,11,330,149,170,11,2,4,0,5,0,1,8,2,51,0,0,1,3,88,2,3
18,GALAŢI,"SCOALA GIMNAZIALA NR.1 COMUNA POIANA,JUDETUL GALATI",380,POIANA,77587,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:22:50",986,986,0,638,533,0,105,1082,444,604,34,1,4,0,14,7,0,54,9,81,5,6,3,3,412,1,4
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NR. 1 COROD",265,COROD,75953,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:45:39",1234,1234,0,644,630,0,14,1355,711,611,33,4,10,1,10,9,0,31,5,73,0,9,2,3,441,3,10
18,GALAŢI,"SCOALA GIMNAZIALA NR 1 GHE. POALELUNGI MASTACANI",346,MĂSTĂCANI,76718,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:08:15",1004,1004,0,462,445,0,17,1122,660,431,31,0,3,2,26,4,5,19,3,115,1,3,2,1,232,10,5
