precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi"
10,BUZĂU,"SCOALA GIMNAZIALA STILPU",371,STÂLPU,49625,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:42:14",1374,1374,0,897,868,0,29,1510,613,854,43,3,624,3,0,2,1,3,1,2,33,39,17,0,10,11,105
10,BUZĂU,"ŞCOALA GIMNAZIALĂ TACHE ŞI ECATERINA TOCILESCU",410,"VINTILĂ VODĂ",50228,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:35:40",1201,1201,0,791,736,0,55,1320,529,754,37,4,521,1,10,1,4,9,9,1,37,36,5,4,5,16,91
10,BUZĂU,"ŞCOALA GIMNAZIALA TOPLICENI",380,TOPLICENI,49769,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:42:15",996,996,0,551,526,0,25,1100,549,518,33,2,304,1,4,3,4,4,10,2,31,34,7,1,13,4,94
10,BUZĂU,"ŞCOALA GIMNAZIALA URSOAIA",416,VIPEREŞTI,50326,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:51:03",785,785,0,509,465,0,44,870,361,456,53,0,311,2,1,0,6,2,3,2,30,34,8,2,5,7,43
10,BUZĂU,"ŞCOALA GIMNAZIALĂ VĂCĂREASCA",249,GLODEANU-SILIŞTEA,46910,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:57:39",341,341,0,216,190,0,26,380,164,201,15,3,119,1,1,0,1,0,0,0,2,14,3,0,3,0,54
10,BUZĂU,"ŞCOALA GIMNAZIALĂ VALEA PĂRULUI",144,BECENI,45003,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:37:55",1055,1055,0,629,580,0,49,1160,531,590,39,2,438,3,5,5,4,4,0,4,17,18,5,1,7,18,59
10,BUZĂU,"SCOALA GIMNAZIALA VALEA RAMNICULUI",398,"VALEA RÂMNICULUI",50022,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:01:01",1780,1780,0,981,952,0,29,1950,969,944,37,8,628,0,6,9,10,5,13,2,26,84,16,0,18,16,103
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”VASILE ALDEA” ZOREȘTI",409,VERNEŞTI,50102,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:45:36",1096,1096,0,593,575,0,18,1200,607,562,31,2,337,2,5,2,3,5,8,0,25,60,12,0,9,10,82
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”VASILE CRISTOFOREANU”",85,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:35:37",1623,1623,0,749,737,0,12,1800,1051,732,17,6,420,3,10,3,3,2,43,3,47,45,22,0,6,16,103
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”VASILE CRISTOFOREANU”",84,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:58:19",1450,1450,0,586,567,0,19,1600,1014,563,23,10,326,5,18,6,1,4,7,3,35,36,10,0,11,11,80
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”VASILE CRISTOFOREANU”",83,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:17:13",1538,1538,0,727,707,0,20,1700,973,672,55,4,420,2,6,6,4,4,12,1,27,69,14,4,9,19,71
10,BUZĂU,"ŞCOALA GIMNAZIALA VIPEREŞTI",413,VIPEREŞTI,50326,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:45:32",911,911,0,567,535,0,32,1010,443,512,55,5,360,3,3,2,3,5,10,0,17,34,1,0,2,1,66
10,BUZĂU,"SCOALA GURA-FAGETULUI",383,TOPLICENI,49769,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:53:20",146,146,0,104,96,0,8,160,56,101,3,0,67,0,2,0,0,0,1,0,4,4,0,0,1,0,22
10,BUZĂU,"ŞCOALA GURA SĂRĂŢII",281,MEREI,47453,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:18:32",144,144,0,92,74,0,18,160,68,86,6,0,54,0,1,1,6,0,0,0,0,3,1,0,1,3,16
10,BUZĂU,"ŞCOALA LUNCA FRUMOASA",308,PÂRSCOV,48557,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:32:35",856,856,0,530,504,0,26,940,410,503,27,3,336,0,7,2,10,0,2,1,24,22,10,1,3,12,70
10,BUZĂU,"ŞCOALA MĂCRINA",323,PUIEŞTI,48842,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:40:31",408,408,0,216,200,0,16,450,234,201,15,1,161,0,1,1,0,2,0,0,2,9,3,1,6,0,14
10,BUZĂU,"ŞCOALA NENCIULEŞTI",284,MEREI,47453,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:30:12",238,238,0,125,113,0,12,270,145,122,3,1,73,0,2,1,0,1,3,0,4,4,2,1,3,2,25
10,BUZĂU,"SCOALA NR.2 SAT RAMNICELU",328,RÂMNICELU,48968,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:23:06",1450,1450,0,1061,1056,0,5,1620,559,599,462,8,280,3,4,2,14,8,12,1,5,62,1,0,3,6,190
10,BUZĂU,"ŞCOALA PARDOŞI",301,PARDOŞI,48165,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:25:27",261,261,0,220,176,0,44,300,80,213,7,1,182,0,0,0,1,1,1,0,7,0,0,6,3,1,10
10,BUZĂU,"ŞCOALA PIETRARU",229,COZIENI,46554,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:32:19",135,135,0,100,78,0,22,150,50,97,3,1,69,0,0,3,1,3,0,0,16,2,0,0,0,0,2
10,BUZĂU,"ŞCOALA PRIMARĂ",125,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:43:52",377,377,0,235,221,0,14,420,185,222,13,0,151,1,4,0,3,0,1,1,7,10,5,0,8,5,26
10,BUZĂU,"ŞCOALA PRIMARĂ",337,RUŞEŢU,49046,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:07:11",155,155,0,123,113,0,10,180,57,106,17,0,54,0,2,2,0,0,1,0,15,5,1,0,2,4,20
10,BUZĂU,"ŞCOALĂ PRIMARĂ",121,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:33:24",238,238,0,139,129,0,10,268,129,134,5,0,73,1,0,2,0,1,4,1,4,7,1,0,1,6,33
10,BUZĂU,"ŞCOALA PRIMARĂ BECENI",140,BECENI,45003,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:45:52",790,790,0,506,466,0,40,870,364,485,21,0,339,0,5,2,0,2,4,4,18,20,10,1,5,5,70
