precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","OLĂRAŞU COSMIN-ALIN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
22,HUNEDOARA,"COLEGIUL TEHNIC „CONSTANTIN BRÂNCUȘI” PETRILA (FOSTA ȘCOALĂ GIMNAZIALĂ „ANA COLDA”)",234,"ORAŞ PETRILA",87077,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:25",1332,1324,0,7,1,576,568,0,7,1,554,22,1400,824,325,11,4,19,38,14,116,3,24
22,HUNEDOARA,"COLEGIUL TEHNIC DE TRANSPORT FEROVIAR ”ANGHEL SALIGNY” SIMERIA",244,"ORAŞ SIMERIA",87665,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:29:19",1228,1212,5,10,1,591,580,0,10,1,553,38,1150,559,177,18,4,43,162,8,118,4,19
22,HUNEDOARA,"COLEGIUL TEHNIC ENERGETIC DRAGOMIR HURMUZESCU (FOSTA ŞCOALĂ GENERALĂ ”OCTAVIAN GOGA”)",36,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:24:47",1296,1287,0,9,0,460,451,0,9,0,439,21,1400,940,159,16,12,37,79,14,94,12,16
22,HUNEDOARA,"COLEGIUL TEHNIC ENERGETIC DRAGOMIR HURMUZESCU (FOSTA ŞCOALĂ GENERALĂ ”OCTAVIAN GOGA”)",35,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:24:53",1861,1841,6,7,7,759,745,0,7,7,719,40,1900,1141,206,21,22,72,156,32,162,14,34
22,HUNEDOARA,"COLEGIUL TEHNIC ENERGETIC DRAGOMIR HURMUZESCU (FOSTA ŞCOALĂ GENERALĂ ”OCTAVIAN GOGA”)",34,"MUNICIPIUL DEVA",86687,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:15:09",1416,1411,0,5,0,520,515,0,5,0,469,48,1503,986,161,21,9,58,73,12,105,8,22
22,HUNEDOARA,"COLEGIUL TEHNIC ”MATEI CORVIN” (FOSTUL LICEU NR. 1)",81,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:17:29",1015,998,7,10,0,421,411,0,10,0,408,13,1100,679,206,11,3,33,44,5,70,7,29
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ŞCOALĂ GENERALĂ)",27,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:16",1245,1235,4,6,0,519,513,0,6,0,500,19,1300,781,156,23,12,47,127,12,88,6,29
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ŞCOALĂ GENERALĂ)",28,"MUNICIPIUL DEVA",86687,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 01:12:21",1547,1534,4,8,1,623,614,0,8,1,582,41,1613,990,212,23,10,57,106,9,102,12,51
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ŞCOALĂ GENERALĂ)",26,"MUNICIPIUL DEVA",86687,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:27:27",1414,1402,2,9,1,637,627,0,9,1,621,16,1500,863,192,30,15,81,134,14,90,13,52
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ȘCOALĂ GENERALĂ)",29,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:26:17",1344,1333,1,10,0,541,531,0,10,0,519,22,1400,859,156,25,8,61,115,14,81,6,53
