precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHALCEA SERGIU-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","THUMA HUBERT PETRU ŞTEFAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","BOBEI VICTOR-HORIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DANCĂ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TĂNĂSESCU CLAUDIU-PARTIDUL ROMÂNIA MARE-voturi"
25,ILFOV,"AFTER SCHOOL DOMNESTI",215,DOMNEŞTI,102570,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:58:45",1824,1735,0,81,8,1089,1000,0,81,8,1063,26,1900,811,90,856,33,65,19
25,ILFOV,"AȘEZĂMÂNTUL SOCIAL AL BISERICII SF. DUMITRU",191,COPĂCENI,179588,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:50:33",1506,1494,1,9,2,982,971,0,9,2,865,117,1600,618,182,524,70,70,19
25,ILFOV,"BAZA SPORTIVĂ - CAMERA 12 (VESTIAR GAZDE)",277,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:52:58",1637,1601,0,23,13,1201,1165,0,23,13,1173,28,1700,499,25,1074,51,13,10
25,ILFOV,"CAMIN CULTURAL",182,CIOLPANI,101902,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:14:44",713,704,0,8,1,429,420,0,8,1,406,23,764,326,37,314,11,39,5
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",235,GRĂDIŞTEA,103443,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:31:22",1651,1598,0,6,47,1191,1138,0,6,47,1104,40,1800,656,96,681,47,267,13
25,ILFOV,"CASA DE CULTURĂ",121,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:46:04",1802,1770,13,16,3,934,914,1,16,3,891,43,2000,1066,102,550,64,146,29
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",269,SNAGOV,105160,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:28:51",1387,1339,5,43,0,932,887,2,43,0,880,52,1492,560,127,610,45,72,26
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",270,SNAGOV,105160,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:30:37",1202,1163,2,35,2,852,814,1,35,2,815,37,1300,448,110,572,32,76,25
25,ILFOV,"CENTRUL DE ASISTENȚĂ DUPĂ PROGROMUL ȘCOLAR",283,TUNARI,105570,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:45:26",326,318,0,8,0,176,168,0,8,0,172,4,336,160,26,92,7,41,6
25,ILFOV,"CLĂDIREA AFTER SCHOOL",195,CORBEANCA,102160,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:11:30",1941,1863,29,48,1,1113,1056,8,48,1,1080,33,1995,882,91,314,38,608,29
