precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL MAKEDONARMÂNILOR DIN ROMÂNIA-voturi","OVANESIAN FELICIA-NADINA-voturi","POPESCU GEORGE-ANDREI-voturi","VOINEAGU EUGEN-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.5 ”NICOLAE IORGA”",198,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:35",471,450,1,8,12,221,203,0,6,12,212,9,800,579,31,47,33,1,12,8,6,1,56,0,3,9,1,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.5 ”NICOLAE IORGA”",196,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 14:21:24",1369,1358,0,8,3,648,637,0,8,3,622,26,1700,1052,75,111,174,8,19,15,5,4,118,6,50,15,11,11
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.6 ”NICOLAE TITULESCU”",161,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:23",867,860,0,7,0,418,411,0,7,0,409,9,897,479,58,79,87,3,19,7,9,4,102,3,12,19,4,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.6 ”NICOLAE TITULESCU”",162,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:52:39",1027,1016,1,10,0,488,478,0,10,0,472,7,1100,611,68,109,110,10,16,7,6,2,99,5,13,14,5,8
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.6 ”NICOLAE TITULESCU”",164,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:20",1061,1051,1,8,1,497,487,1,8,1,479,18,1200,703,44,96,135,4,21,13,9,2,95,3,27,21,6,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.6 ”NICOLAE TITULESCU”",163,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:18",935,927,3,5,0,466,461,0,5,0,454,12,1000,534,48,90,96,6,11,13,6,5,126,3,17,22,5,6
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 7 ”REMUS OPREANU”",159,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:35:27",1376,1362,10,3,1,601,597,0,3,1,576,25,1500,899,65,145,129,5,26,13,3,10,124,4,9,30,8,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 7 ”REMUS OPREANU”",160,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:56:50",1131,1126,0,5,0,492,487,0,5,0,482,10,1200,708,60,91,91,10,21,11,9,6,137,4,3,23,11,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 7 ”REMUS OPREANU”",157,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 20:33:22",715,708,0,7,0,298,291,0,7,0,290,8,797,499,40,62,47,3,8,10,8,1,88,0,3,10,8,2
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 7 ”REMUS OPREANU”",158,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:32",1184,1178,2,4,0,517,513,0,4,0,497,20,1300,783,53,117,103,3,28,13,16,7,122,5,8,11,7,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 7 ”REMUS OPREANU”",156,"MUNICIPIUL CONSTANŢA",60419,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:36:59",1234,1223,4,7,0,535,528,0,7,0,513,22,1300,765,63,103,141,3,10,7,2,10,140,0,9,19,5,1
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 8",97,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:08",1486,1478,0,8,0,640,632,0,8,0,618,21,1600,956,116,156,121,8,17,13,7,7,118,3,17,17,10,8
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 8",99,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:06",1622,1608,6,8,0,744,736,0,8,0,724,20,1800,1056,113,167,174,9,35,12,21,0,139,5,7,17,15,10
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 8",98,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:39:04",1500,1496,0,4,0,636,632,0,4,0,613,23,1600,964,93,131,113,8,35,23,9,6,142,3,4,26,14,6
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 8",96,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:25:00",1746,1739,1,6,0,707,701,0,6,0,686,21,1900,1193,118,172,129,7,32,19,12,13,131,8,2,27,7,9
14,CONSTANŢA,"SCOALA GIMNAZIALA ”SPECTRUM” (ŞCOALA NR.27)",169,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:20:42",1297,1287,0,10,0,628,618,0,10,0,610,18,1400,772,74,150,140,9,19,21,6,8,116,4,33,18,8,4
14,CONSTANŢA,"SCOALA GIMNAZIALA ”SPECTRUM” (ŞCOALA NR.27)",170,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:33",1460,1450,3,7,0,616,609,0,7,0,602,14,1600,984,96,127,129,6,26,14,9,2,140,5,14,19,6,9
