precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"LICEUL SEVER BOCU (GRĂDINIŢA P.P. LIPOVA)",137,"ORAŞ LIPOVA",9574,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:14:39",1175,1165,0,7,3,565,555,0,7,3,549,16,1290,725,45,214,231,6,7,27,19
2,ARAD,"LICEUL TEHNOLOGIC „AUREL VLAICU” ARAD",99,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:32:42",931,901,21,9,0,392,383,0,9,0,382,10,1034,642,56,83,76,41,9,105,12
2,ARAD,"LICEUL TEHNOLOGIC DE CONSTRUCȚII ȘI PROTECȚIA MEDIULUI ARAD",72,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:32:04",1529,1495,22,11,1,478,466,0,11,1,467,11,1660,1182,83,133,101,35,5,85,25
2,ARAD,"LICEUL TEHNOLOGIC DE CONSTRUCȚII ȘI PROTECȚIA MEDIULUI ARAD",71,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:19:36",1371,1352,8,11,0,501,490,0,11,0,490,11,1500,999,77,143,101,33,10,91,35
2,ARAD,"LICEUL TEHNOLOGIC DE CONSTRUCȚII ȘI PROTECȚIA MEDIULUI ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 6)",65,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:15",1444,1431,4,9,0,518,509,0,9,0,506,12,1590,1072,50,135,130,65,8,96,22
2,ARAD,"LICEUL TEHNOLOGIC DE CONSTRUCȚII ȘI PROTECȚIA MEDIULUI ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 6)",66,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:44:48",1528,1516,3,9,0,562,553,0,9,0,541,21,1690,1128,87,123,141,37,14,107,32
2,ARAD,"LICEUL TEHNOLOGIC DE ELECTRONICĂ ŞI AUTOMATIZĂRI „CAIUS IACOB”",11,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:33:38",1221,1204,5,12,0,479,467,0,12,0,460,19,1370,891,85,106,103,51,8,99,8
2,ARAD,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD",91,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:47",1462,1438,15,9,0,561,552,0,9,0,539,22,1650,1089,74,141,73,88,14,119,30
2,ARAD,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD",92,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:43",841,823,12,6,0,305,299,0,6,0,290,15,990,685,54,68,53,19,14,66,16
2,ARAD,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO „HENRI COANDĂ”",89,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:37",935,920,11,4,0,370,366,0,4,0,365,5,1070,700,44,73,80,64,6,87,11
