precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
39,VASLUI,"ȘCOALA PRIMARĂ HALTA DODEȘTI",515,VIIŞOARA,166707,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:15:30",170,162,0,4,4,64,56,0,4,4,63,1,200,136,39,3,13,3,1,4
39,VASLUI,"ȘCOALA PRIMARĂ HÂRȘOVA",273,DELEŞTI,163379,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:54:54",369,363,0,5,1,201,195,0,5,1,193,8,400,199,62,36,84,2,5,4
39,VASLUI,"ŞCOALA PRIMARĂ IDRICI",457,ROŞIEŞTI,165817,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:02",298,280,0,7,11,187,169,0,7,11,171,16,300,113,103,23,25,4,0,16
39,VASLUI,"ŞCOALA PRIMARA IGEŞTI",215,BLĂGEŞTI,162559,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:15:27",180,174,0,6,0,98,92,0,6,0,95,3,200,102,69,18,4,1,2,1
39,VASLUI,"ŞCOALA PRIMARĂ ING. IOAN CIOMAGA",339,HOCENI,164197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:16:54",384,365,0,2,17,272,253,0,2,17,259,13,400,128,205,26,27,1,0,0
39,VASLUI,"ŞCOALA PRIMARĂ ”ÎNV. ION BUSUIOC” FUNDĂTURA",181,ARSURA,162149,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:21:06",315,296,0,12,7,212,193,0,12,7,203,7,400,190,17,8,177,0,0,1
39,VASLUI,"ŞCOALA PRIMARA IVĂNEŞTI",400,PĂDURENI,165185,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:03:24",321,305,0,10,6,144,128,0,10,6,139,5,400,228,72,15,36,3,4,9
39,VASLUI,"ŞCOALA PRIMARĂ LACU BABEI",219,BOGDANA,162595,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:38:07",344,343,0,1,0,177,176,0,1,0,159,18,400,223,37,23,81,1,1,16
39,VASLUI,"ŞCOALA PRIMARĂ MĂLĂIEŞTI",536,VUTCANI,167035,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:20:59",254,245,0,3,6,133,124,0,3,6,126,7,300,167,95,13,11,4,0,3
39,VASLUI,"ȘCOALA PRIMARĂ MĂRĂȘEȘTI",528,VOINEŞTI,166869,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:10:05",158,155,0,3,0,158,155,0,3,0,84,4,200,112,47,5,7,1,0,24
39,VASLUI,"ŞCOALA PRIMARA MICLEȘTI",188,BANCA,162194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:57:15",183,177,0,6,0,109,103,0,6,0,105,4,200,91,69,2,28,0,3,3
39,VASLUI,"ŞCOALA PRIMARĂ ”MIHAI CIOFU” ȘIȘCANI",340,HOCENI,164197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:15:31",228,198,0,4,26,147,117,0,4,26,137,10,300,153,122,5,9,0,1,0
39,VASLUI,"ŞCOALA PRIMARĂ MIHAIL KOGĂLNICEANU",182,ARSURA,162149,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:35:49",84,71,0,9,4,40,27,0,9,4,39,1,100,60,18,2,18,1,0,0
39,VASLUI,"ŞCOALA PRIMARĂ, MÎNĂSTIREA",274,DELEŞTI,163379,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:21:03",130,126,0,4,0,77,73,0,4,0,70,7,200,123,22,4,40,1,1,2
39,VASLUI,"ŞCOALA PRIMARĂ MIRCEŞTI",487,TĂCUTA,166235,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:18",226,222,0,4,0,139,135,0,4,0,130,9,300,161,51,46,12,1,2,18
39,VASLUI,"ȘCOALA PRIMARĂ MORĂRENI",179,"ALEXANDRU VLAHUŢĂ",162069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:59",204,192,0,5,7,118,106,0,5,7,101,5,200,94,56,38,3,2,2,0
39,VASLUI,"ŞCOALA PRIMARĂ MUŞATA",210,BEREZENI,162498,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:05:33",357,350,0,7,0,188,181,0,7,0,180,8,400,212,30,94,51,2,1,2
39,VASLUI,"ŞCOALA PRIMARĂ ”NICOLAE GH. LUPU” ARSURA",180,ARSURA,162149,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:35",564,534,0,16,14,364,334,0,16,14,334,15,600,251,134,17,168,3,4,8
39,VASLUI,"ȘCOALA PRIMARĂ NR.2 BURSUCI",305,EPURENI,163789,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:33:20",684,678,0,2,4,272,266,0,2,4,264,8,700,428,214,18,21,3,6,2
39,VASLUI,"ȘCOALA PRIMARĂ OBÎRȘENI",529,VOINEŞTI,166869,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:32:48",288,283,0,5,0,140,135,0,5,0,133,7,300,160,46,11,5,3,0,68
39,VASLUI,"ŞCOALA PRIMARĂ OLTENEŞTI",389,OLTENEŞTI,165069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:25:37",380,376,0,4,0,169,165,0,4,0,161,8,400,231,24,61,63,2,3,8
39,VASLUI,"ŞCOALA PRIMARĂ PERIENI - SATUL NOU",404,PERIENI,165274,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:07:57",1371,1371,0,0,0,697,697,0,0,0,656,41,1500,803,267,138,223,9,11,8
39,VASLUI,"ŞCOALA PRIMARĂ PERIENI - VALE",405,PERIENI,165274,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:47",450,444,0,6,0,219,213,0,6,0,191,28,500,281,88,27,62,5,6,3
39,VASLUI,"ŞCOALA PRIMARĂ PÎHNA",391,OLTENEŞTI,165069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:52:44",105,98,0,7,0,73,66,0,7,0,66,7,100,27,36,1,26,0,0,3
39,VASLUI,"ŞCOALA PRIMARĂ PÎHNEŞTI",183,ARSURA,162149,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:00:17",394,383,0,3,8,202,191,0,3,8,190,12,400,198,40,30,115,1,1,3
39,VASLUI,"ŞCOALA PRIMARĂ PÎRVEŞTI",253,COSTEŞTI,163137,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:33:14",80,71,0,7,2,60,51,0,7,2,56,4,100,40,42,7,3,0,3,1
39,VASLUI,"ŞCOALA PRIMARĂ PLOPI",237,BUNEŞTI-AVEREŞTI,162924,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:17:19",163,155,0,4,4,163,155,0,4,4,148,15,400,237,41,17,40,6,3,41
39,VASLUI,"ŞCOALA PRIMARĂ PLOTONEŞTI",279,"DIMITRIE CANTEMIR",164277,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:07:25",247,241,0,4,2,126,120,0,4,2,123,3,300,174,50,10,55,4,1,3
39,VASLUI,"ȘCOALA PRIMARĂ POCHIDIA",406,POCHIDIA,167311,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:08:14",330,316,0,2,12,189,175,0,2,12,157,17,400,226,121,20,12,1,3,0
