precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIUŢĂ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BARBU VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","COARNĂ DUMITRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BELLANTONI AMALIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DĂSCĂLESCU-TIRON CAMELIA-SANDA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR.1 CEACU",109,"CUZA VODĂ",93281,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:31:02",1101,1058,1,18,24,766,728,0,18,20,742,24,1163,397,45,328,316,16,25,12
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR. 1 CLINCIU",209,SPANŢOV,105259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:52:33",944,934,0,1,9,584,574,0,1,9,539,39,1029,451,37,115,364,4,17,2
12,CĂLĂRAŞI,"ȘCOALA PRIMARA NR.1 CONSTANTIN BRÂNCOVEANU",128,DRAGALINA,93487,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:06:43",714,703,0,9,2,373,362,0,9,2,361,12,800,427,34,185,113,2,20,7
12,CĂLĂRAŞI,"ȘCOALA PRIMARĂ NR.1 DÎLGA SAT",117,"DOR MĂRUNT",93370,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:51:15",627,619,0,8,0,388,380,0,8,0,375,13,682,294,19,138,193,4,18,3
12,CĂLĂRAŞI,"SCOALA PRIMARA NR.1 GRUIU",70,"ORAŞ BUDEŞTI",101458,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:04:37",603,540,0,62,1,395,332,0,62,1,383,12,467,72,24,150,144,8,17,40
12,CĂLĂRAŞI,"SCOALA PRIMARA NR.1 LUPTATORI",134,FRĂSINET,102838,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:38:14",434,401,0,9,24,320,287,0,9,24,317,3,479,149,15,290,1,5,3,3
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR.1 NEGOEŞTI",211,ŞOLDANU,105384,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:59:01",788,756,0,14,18,558,526,0,14,18,520,38,845,287,43,384,60,10,17,6
12,CĂLĂRAŞI,"SCOALA PRIMARA NR.1 PLEVNA",168,LUPŞANU,93931,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:12:39",479,472,1,6,0,180,174,0,6,0,171,9,533,353,28,114,9,14,4,2
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR. 1 VĂRĂŞTI",123,DOROBANŢU,93441,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:24:46",748,717,0,5,26,459,429,0,5,25,445,14,800,341,15,311,12,99,6,2
12,CĂLĂRAŞI,"SCOALA PRIMARA NR.2",217,"TĂMĂDĂU MARE",105455,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:05:39",720,685,0,28,7,463,428,0,28,7,446,17,802,339,39,230,154,4,14,5
12,CĂLĂRAŞI,"ȘCOALA PRIMARĂ NR. 2",141,FUNDENI,103014,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:46:54",1231,1165,2,44,20,845,781,0,44,20,804,41,1300,455,41,436,246,3,59,19
12,CĂLĂRAŞI,"ȘCOALA PRIMARĂ NR. 2",108,CURCANI,102419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:46:02",1270,1262,1,7,0,813,806,0,7,0,766,47,1389,564,54,528,142,7,31,4
12,CĂLĂRAŞI,"SCOALA PRIMARA NR.2 BUCIUMENI",69,"ORAŞ BUDEŞTI",101458,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:23",487,481,0,5,1,329,323,0,5,1,306,23,531,202,7,141,123,7,6,22
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR.3 DOROBANȚU",190,PLĂTĂREŞTI,104635,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:14:42",812,789,2,9,12,574,552,1,9,12,564,10,862,288,20,444,85,3,8,4
12,CĂLĂRAŞI,"SCOALA PRIMARA NR.3 ULMENI",220,ULMENI,105605,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:58:29",1208,1182,2,21,3,811,786,1,21,3,784,27,1300,465,21,478,213,25,18,29
12,CĂLĂRAŞI,"ȘCOALA PRIMARĂ NR.5 PĂDURIȘU",139,FRUMUŞANI,102945,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:13:31",634,582,2,50,0,397,347,0,50,0,385,12,639,242,72,214,29,38,16,16
12,CĂLĂRAŞI,"ŞCOALA PRIMARA NR.6",48,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:49",963,951,1,9,2,470,459,0,9,2,463,7,1053,581,80,225,78,20,28,32
12,CĂLĂRAŞI,"ŞCOALA PRIMARA NR.6",49,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:57",957,948,0,9,0,437,428,0,9,0,424,13,1055,618,100,181,71,23,25,24
12,CĂLĂRAŞI,"SCOALA SAPUNARI",163,LEHLIU,93851,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:50",626,576,0,13,37,454,404,0,13,37,432,22,800,346,33,176,200,10,9,4
12,CĂLĂRAŞI,"SCOALA SMARDAN",99,CIOCĂNEŞTI,93085,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:26:57",777,728,0,20,29,571,522,0,20,29,498,24,801,277,18,309,136,10,13,12
12,CĂLĂRAŞI,"SCOALA TONEA",181,MODELU,92587,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:11:33",1754,1747,0,0,7,818,811,0,0,7,769,49,1923,1104,86,205,415,16,30,17
12,CĂLĂRAŞI,"ŞCOALA VECHE",145,GRĂDIŞTEA,93664,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:18:19",1788,1738,1,34,15,1148,1099,0,34,15,1114,34,1925,777,58,819,105,63,24,45
12,CĂLĂRAŞI,"ŞCOALA VECHE",148,GRĂDIŞTEA,93664,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:50:33",1067,1009,0,20,38,683,625,0,20,38,651,32,1101,418,27,280,247,37,15,45
12,CĂLĂRAŞI,"ŞC. PRIMARĂ NR.1",113,DICHISENI,93325,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:41",759,708,0,20,31,540,489,0,20,31,529,11,3250,1095,36,164,264,15,22,28
