precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 3",66,"ORAŞ MĂCIN",159730,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:39:28",1101,1089,4,7,1,514,506,0,7,1,483,31,1213,699,184,3,143,78,12,34,4,25
38,TULCEA,"GRĂDINIȚA DE COPII CORP 2",146,MAHMUDIA,160724,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:13:51",1076,1053,0,6,17,574,551,0,6,17,555,19,1161,587,76,5,331,96,7,16,2,22
38,TULCEA,"GRĂDINIȚA DE COPII CORP 2",145,MAHMUDIA,160724,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:14",1051,1014,2,9,26,536,502,0,9,25,516,16,1120,60,67,8,308,70,11,30,0,22
38,TULCEA,"GRĂDINIŢA DE COPII OSTROV",171,OSTROV,161106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:02:20",1555,1504,2,13,36,885,836,0,13,36,810,75,1664,779,335,13,350,60,3,24,5,20
38,TULCEA,"GRADINITA FLORESTI",130,HORIA,160528,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:00:58",221,201,0,9,11,136,116,0,9,11,124,12,166,30,7,0,53,52,2,2,0,8
38,TULCEA,"IMOBIL PROPRIETATE PRIVATĂ (FOST SPAȚIU COMERCIAL)",157,MURIGHIOL,160911,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:38:36",111,103,0,8,0,60,52,0,8,0,58,2,114,54,14,1,19,13,0,8,0,3
38,TULCEA,"INTERNAT LICEUL TEORETIC „ION CREANGĂ”",3,"MUNICIPIUL TULCEA",159614,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:32:09",1712,1701,3,6,2,647,641,0,4,2,632,15,1893,1246,161,9,254,101,26,33,3,45
38,TULCEA,"INTERNAT LICEUL TEORETIC „ION CREANGĂ”",4,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:02:01",1556,1545,1,8,2,635,625,0,8,2,620,15,1709,1074,163,7,243,101,29,41,2,34
38,TULCEA,"LICEUL DE ARTE ”GEORGE GEORGESCU”",12,"MUNICIPIUL TULCEA",159614,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:24:19",901,890,2,8,1,398,389,0,8,1,379,19,991,593,102,5,136,56,12,44,5,19
38,TULCEA,"LICEUL DE ARTE ”GEORGE GEORGESCU”",11,"MUNICIPIUL TULCEA",159614,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:25",1150,1143,2,4,1,530,525,0,4,1,514,16,1266,736,134,12,202,73,24,43,6,20
