precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 5",104,"MUNICIPIUL DRĂGĂŞANI",167981,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:23:04",695,690,0,5,0,351,346,0,5,0,321,30,760,409,83,130,1,34,9,41,4,3,7,9
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.5",33,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:30:41",1118,1103,4,11,0,581,570,0,11,0,565,16,1210,629,130,249,0,67,59,34,2,6,8,10
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 8 (BÂRSANU)",102,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:11:28",841,832,0,7,2,455,446,0,7,2,419,36,920,465,104,137,0,83,10,63,5,4,6,7
40,VÂLCEA,"ŞCOALĂ GIMNAZIALĂ PIETRARI",337,PIETRARI,172340,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:58",1316,1294,2,3,17,801,780,1,3,17,732,69,1420,619,352,224,8,74,22,7,6,3,8,28
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ROŞIILE",354,ROŞIILE,172698,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:42:14",879,807,1,40,31,603,532,0,40,31,526,38,890,322,122,323,2,27,9,32,3,1,1,6
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ SĂRULEŞTI",272,LĂPUŞATA,170792,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:25:23",1054,1015,0,26,13,753,714,0,26,13,714,39,1054,301,166,354,2,63,27,93,2,0,0,7
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ SAT COLTEȘTI",158,ALUNU,168229,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:31:51",1300,1269,2,15,14,788,758,1,15,14,715,73,1400,612,102,348,3,120,60,7,8,0,28,39
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ, SAT VALEA MARE, ORAȘ BĂBENI",114,"ORAŞ BĂBENI",168372,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:57",1391,1380,2,7,2,590,581,0,7,2,529,61,1530,940,158,223,12,62,22,19,6,1,5,21
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ŞERBĂNEŞTI",326,PĂUŞEŞTI,171995,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:18:05",363,356,0,0,7,258,251,0,0,7,236,20,400,144,50,160,1,9,4,1,0,0,2,9
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ŞERBAN VODĂ CANTACUZINO” CĂLIMĂNEŞTI",140,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:40:32",810,801,0,6,3,467,458,0,6,3,446,21,890,423,139,228,6,39,23,3,0,1,1,6
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN VODĂ CANTACUZINO” CĂLIMĂNEȘTI",141,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:18",988,981,0,6,1,578,571,0,6,1,563,15,1080,502,167,275,5,49,33,7,5,1,4,17
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ŞIRINEASA",393,ŞIRINEASA,173686,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 13:10:46",1167,1157,2,0,8,661,653,0,0,8,609,52,1280,619,127,368,6,52,17,7,5,0,2,25
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”SPIRU HARET” (FOSTĂ NR. 3)",44,"MUNICIPIUL RÂMNICU VÂLCEA",167473,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:43:10",1617,1607,5,4,1,805,795,5,4,1,725,80,1770,965,191,362,8,80,2,39,3,7,9,24
40,VÂLCEA,"ṢCOALA GIMNAZIALĂ SUTEŞTI",391,SUTEŞTI,173597,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:08:09",1228,1162,2,33,31,817,752,1,33,31,777,40,1320,503,490,175,6,45,18,10,6,2,4,21
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ TAKE IONESCU",28,"MUNICIPIUL RÂMNICU VÂLCEA",167473,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:41:14",913,897,8,7,1,473,465,0,7,1,443,30,1013,540,91,208,43,46,26,10,19,0,0,0
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ TURCEŞTI",286,MATEEŞTI,171067,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:12:29",1088,997,2,46,43,721,630,2,46,43,681,40,1090,369,57,558,0,32,16,4,0,3,1,10
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ UDREŞTI",213,DĂNICEI,169404,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:25:32",756,749,0,6,1,499,492,0,6,1,458,41,830,331,121,237,1,39,51,0,0,1,0,8
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ZĂTRENI",430,ZĂTRENI,174290,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:24:32",502,480,2,8,12,278,257,1,8,12,261,17,550,272,75,135,2,21,8,5,1,1,1,12
40,VÂLCEA,"ŞCOALA GRUIUL LUPULUI",348,RACOVIŢA,172509,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:23:20",114,103,1,7,3,79,69,0,7,3,74,5,120,41,8,46,0,4,0,12,0,0,1,3
40,VÂLCEA,"ŞCOALA IONEŞTII GOVORII",257,IONEŞTI,170514,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:16",1073,1064,2,5,2,543,536,0,5,2,505,38,1170,627,179,220,0,53,21,3,2,3,3,21
40,VÂLCEA,"ŞCOALA LESPEZI - ARHIVĂ",47,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:18:20",1228,1220,0,8,0,620,612,0,8,0,580,40,1360,740,116,270,2,58,53,35,7,5,5,29
40,VÂLCEA,"ŞCOALA LUNGEŞTI",277,LUNGEŞTI,170952,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:13:04",802,767,0,16,19,417,382,0,16,19,384,32,880,464,246,98,2,19,5,5,0,1,2,6
40,VÂLCEA,"ŞCOALA MARCEA",260,IONEŞTI,170514,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:02",646,642,1,2,1,361,358,0,2,1,343,18,710,349,141,129,0,54,7,3,1,0,1,7
40,VÂLCEA,"ŞCOALA MĂRGINENI",424,"VALEA MARE",174085,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:49:09",316,289,0,20,7,192,165,0,20,7,176,16,320,128,55,92,1,12,1,1,0,1,0,13
40,VÂLCEA,"ŞCOALA MUEREASCA DE JOS",308,MUEREASCA,171539,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:48:08",894,891,0,3,0,456,453,0,3,0,424,32,990,534,150,207,2,29,6,9,1,0,2,18
40,VÂLCEA,"ŞCOALA MUEREASCA DE SUS",309,MUEREASCA,171539,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:55:02",1125,1121,0,4,0,591,587,0,4,0,560,31,1230,639,152,329,0,2,14,2,49,1,2,9
40,VÂLCEA,"ŞCOALA NICOLAE BĂLCESCU",99,"MUNICIPIUL DRĂGĂŞANI",167981,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:20:16",1190,1173,1,15,1,650,634,0,15,1,612,38,1300,650,156,213,0,79,23,104,10,3,3,21
40,VÂLCEA,"ȘCOALA NICOLAE BĂLCESCU",98,"MUNICIPIUL DRĂGĂŞANI",167981,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:04:50",1172,1161,1,10,0,608,598,0,10,0,572,36,1280,672,129,200,2,71,50,94,6,2,1,17
40,VÂLCEA,"ŞCOALA PATEŞTI",361,SĂLĂTRUCEL,172894,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:06:12",104,95,0,9,0,75,66,0,9,0,72,3,110,35,45,17,0,5,1,0,2,0,1,1
