precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"ŞCOALA GIMNAZIALĂ „AUREL VLAICU”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 21)",45,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:02:27",1225,1214,1,10,0,515,505,0,10,0,505,10,1350,835,55,70,15,120,109,23,21,78,14
2,ARAD,"ŞCOALA GIMNAZIALĂ „AUREL VLAICU”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 21)",46,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:00:37",959,948,0,10,1,424,413,0,10,1,411,12,1078,655,51,33,8,109,74,10,16,102,8
2,ARAD,"ȘCOALA GIMNAZIALĂ „AUREL VLAICU” ARAD (ȘCOALA GIMNAZIALĂ „FRAȚII NEUMAN” ARAD - FOSTA ŞCOALĂ GENERALĂ NR. 10)",57,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:03:18",1407,1401,0,6,0,560,554,0,6,0,549,11,1560,1000,77,99,30,88,111,30,16,82,16
2,ARAD,"ȘCOALA GIMNAZIALĂ „AUREL VLAICU” ARAD (ȘCOALA GIMNAZIALĂ „FRAȚII NEUMAN” ARAD - FOSTA ȘCOALĂ GENERALĂ NR. 10)",56,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:58:29",1068,1053,3,12,0,447,435,0,12,0,435,11,1170,723,53,72,9,67,108,17,18,85,6
2,ARAD,"ȘCOALA GIMNAZIALĂ ”AUREL VLAICU” ARAD (ȘCOALA GIMNAZIALĂ „FRAȚII NEUMANN” ARAD - FOSTA ȘCOALA GENERALĂ NR. 10)",53,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:06",1434,1417,6,11,0,432,421,0,11,0,408,24,1600,1168,51,43,10,98,74,18,12,84,18
2,ARAD,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU” (FOSTA ŞCOALĂ GENERALĂ NR. 18)",69,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:57",1128,1111,2,15,0,424,409,0,15,0,414,10,1260,836,50,46,15,112,65,15,27,73,11
2,ARAD,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU” (FOSTA ŞCOALĂ GENERALĂ NR. 18)",70,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:53",1319,1302,2,15,0,516,501,0,15,0,505,11,1480,964,64,49,7,108,116,18,31,104,8
2,ARAD,"ȘCOALA GIMNAZIALĂ „CAIUS IACOB” (FOSTA ŞCOALĂ GENERALĂ NR. 22)",26,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:46:43",1151,1135,6,10,0,439,429,0,10,0,423,15,1280,841,62,38,11,98,101,17,14,70,12
2,ARAD,"ȘCOALA GIMNAZIALĂ „CAIUS IACOB” (FOSTA ŞCOALĂ GENERALĂ NR. 22)",29,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:09:05",1111,1094,3,14,0,441,427,0,14,0,428,13,1250,809,52,18,7,109,112,17,19,87,7
2,ARAD,"ȘCOALA GIMNAZIALĂ „CAIUS IACOB” (FOSTA ŞCOALĂ GENERALĂ NR. 22)",28,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:16",1322,1307,4,11,0,540,529,0,11,0,530,10,1480,940,70,27,7,132,134,16,10,123,11
