precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IFTIME VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","TRUFIN LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CILIBIU EUSEBIU-LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AMARANDEI DOINA-PARTIDUL S.O.S. ROMÂNIA-voturi","LĂCĂTUŞU-ANDREI CRISTINA-ANETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANDRUŞ DĂNUŢ-voturi"
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 16",82,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:58",987,980,2,5,0,456,449,2,5,0,436,20,1095,639,202,153,25,27,11,18
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 BURLEȘTI",400,UNŢENI,39532,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:10:56",502,492,0,6,4,286,276,0,6,4,281,5,602,316,96,154,25,4,2,0
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 CIȘMEA",340,RĂCHIŢI,35839,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:10:08",522,517,0,4,1,305,300,0,4,1,296,9,591,286,184,88,10,5,6,3
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 CRISTINEŞTI",213,CRISTINEŞTI,36952,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:13:47",934,864,0,21,49,575,505,0,21,49,529,46,1000,425,126,284,96,11,8,4
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 CURTEȘTI",218,CURTEŞTI,35759,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:43:11",1395,1382,7,4,2,713,705,2,4,2,696,17,1500,787,373,219,53,25,19,7
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 CRASNALEUCA",204,COŢUŞCA,36809,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:02:23",469,464,0,5,0,236,231,0,5,0,225,11,500,264,66,143,4,11,1,0
7,BOTOŞANI,"GRADINITA CU PROGRAM NORMAL NR.2 HAVIRNA(CATUN BASEU)",264,HAVÂRNA,37547,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:06:46",632,628,0,0,4,300,296,0,0,4,294,6,700,400,132,95,44,7,10,6
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 POMÂRLA, SAT POMÂRLA, COMUNA POMÂRLA",333,POMÂRLA,38544,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:46:44",915,856,0,22,37,600,541,0,22,37,576,24,996,396,297,117,54,8,96,4
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 BĂBICENI",242,DURNEŞTI,37217,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:37",548,532,1,0,15,332,316,1,0,15,307,25,600,268,211,84,6,0,4,2
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 NICHITENI",206,COŢUŞCA,36809,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:38:50",342,337,0,3,2,342,337,0,3,2,328,14,800,458,191,103,19,8,3,4
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 6 BOSCOTENI",246,FRUMUŞICA,37324,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:09:47",512,506,0,6,0,241,235,0,6,0,219,22,600,359,85,92,11,3,27,1
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8",81,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:06:14",1581,1571,3,7,0,669,662,0,7,0,643,26,1700,1031,271,227,77,32,14,22
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ” ALBA CA ZĂPADA” DOROHOI",101,"MUNICIPIUL DOROHOI",36006,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:03:41",1045,1042,1,2,0,368,366,0,2,0,354,14,1190,822,119,164,39,14,8,10
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT”ALBA CA ZĂPADA” DOROHOI",102,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:05:15",1278,1273,0,5,0,544,539,0,5,0,537,7,1361,817,174,282,35,19,13,14
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 19",9,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:38:04",1023,1012,1,10,0,408,398,0,10,0,398,10,1100,692,194,123,38,20,13,10
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 19",8,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:24:09",926,919,1,5,1,392,386,0,5,1,378,14,1100,708,224,109,19,9,8,9
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 20",60,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:38",1679,1676,0,3,0,843,840,0,3,0,811,32,1900,1057,444,231,69,34,21,12
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",43,"MUNICIPIUL BOTOŞANI",35731,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:53",907,900,0,7,0,376,369,0,7,0,372,4,1000,624,221,92,30,8,11,10
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",42,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:59:55",922,915,2,5,0,360,355,0,5,0,350,10,1000,640,206,84,22,14,16,8
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",41,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:00:18",837,829,1,4,3,416,409,0,4,3,403,13,1000,584,236,101,24,14,19,9
