precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGOIŢĂ ROBERT SORIN-ALIANȚA ELECTORALĂ PSD PNL-voturi","NIŢĂ ALEXANDRU-MARCO-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEGRILĂ VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE DANIEL-PAUL-ROMEO-PARTIDUL S.O.S. ROMÂNIA-voturi","JUDELE ŞTEFAN-LUCIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CICEALĂ ANA-MARIA-voturi"
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",595,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-12 06:14:36",1053,1031,12,7,3,481,472,0,7,2,464,17,1155,668,223,21,12,7,115,86
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",596,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:42:47",1276,1265,4,7,0,521,514,0,7,0,514,7,1389,868,250,26,13,21,126,78
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",593,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:06:44",1185,1167,5,13,0,474,461,0,13,0,471,3,1293,819,272,24,6,17,88,64
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",600,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:15:14",1565,1542,6,16,1,671,654,0,16,1,654,17,1701,1030,295,31,14,8,197,109
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",594,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:36:42",1634,1622,2,10,0,401,391,0,10,0,394,7,1791,1390,183,27,8,21,77,78
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",471,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:12:33",1238,1228,0,10,0,616,606,0,10,0,599,17,1337,721,269,21,16,13,143,137
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",470,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:40:51",1335,1331,4,0,0,558,558,0,0,0,550,8,1471,883,320,28,9,15,112,66
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",472,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 14:20:02",1643,1634,1,8,0,710,702,0,8,0,696,14,1786,1076,329,25,19,19,161,143
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",469,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-11 23:39:56",1249,1236,8,5,0,552,547,0,5,0,543,9,1361,809,301,30,18,9,119,66
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",468,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:37:02",1154,1149,2,3,0,497,494,0,3,0,484,13,1262,765,256,27,6,6,107,82
