precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"GRĂDINIŢA CU PN NR.3 NEAJLOV",95,CLEJANI,101984,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:59:25",1251,1142,1,60,48,1020,912,0,60,48,987,33,1294,274,0,60,3,886,32,6
19,GIURGIU,"GRĂDINIŢA CU PN NR.8 CĂRĂMIDARI",16,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:56:32",1699,1692,0,6,1,804,797,0,6,1,780,24,1851,1047,15,213,32,421,88,11
19,GIURGIU,"GRĂDINIŢA CU PN NR.9",36,"MUNICIPIUL GIURGIU",100521,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:16:58",887,877,1,8,1,287,278,0,8,1,274,13,971,684,12,104,17,94,38,9
19,GIURGIU,"GRĂDINIŢA CU PP NR.9",37,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:11:24",966,953,0,11,2,337,324,0,11,2,318,19,1058,721,15,125,14,109,47,8
19,GIURGIU,"GRĂDINIŢĂ CU PROGRAM NORMAL",219,STOENEŞTI,105348,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:10:47",377,295,2,55,25,326,246,0,55,25,317,9,354,28,1,28,0,274,14,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL CARTOJANI",198,"ROATA DE JOS",104831,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:42:47",743,737,0,6,0,403,397,0,6,0,390,13,810,407,5,74,2,275,30,4
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL CU 3 SĂLI DE GRUPĂ GHIMPAȚI",137,GHIMPAŢI,103238,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:21:13",1238,1089,1,35,113,828,680,0,35,113,826,2,1321,493,5,62,7,716,36,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL GRĂDIŞTEA",103,COMANA,102106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:23",1110,1043,0,19,48,693,626,0,19,48,648,45,1200,507,11,528,9,42,58,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 BUDENI",101,COMANA,102106,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:06",623,577,0,28,18,380,334,0,28,18,365,15,649,269,2,294,9,17,42,1
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 PIETRIŞU",133,GĂUJANI,103194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:59:47",853,766,0,54,33,611,524,0,54,33,566,45,845,234,1,225,199,98,41,2
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 ROATA MICA",201,"ROATA DE JOS",104831,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:17",427,419,0,8,0,302,294,0,8,0,291,11,461,159,1,56,9,196,29,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2",155,HOTARELE,103639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:29",567,515,0,49,3,435,383,0,49,3,417,18,569,134,9,154,17,187,47,3
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2 GORNENI",159,IEPUREŞTI,103693,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:57:13",563,492,1,65,5,458,388,0,65,5,433,25,466,8,0,184,12,203,22,12
19,GIURGIU,"GRADINIŢA CU PROGRAM NORMAL NR.2 PLOPŞORU",112,DAIA,102446,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:29:20",577,559,0,14,4,381,363,0,14,4,364,17,622,241,7,99,18,205,19,16
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 3",157,HOTARELE,103639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:53",600,552,0,46,2,464,416,0,46,2,448,16,611,147,2,166,11,225,42,2
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR 3",60,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:19:47",1201,1137,0,64,0,906,842,0,64,0,881,25,1245,339,8,399,15,397,55,7
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 3 CETATEA",122,FRĂTEŞTI,102909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:46",439,391,1,24,23,247,200,0,24,23,240,7,427,180,2,51,7,150,26,4
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 ONCEŞTI",217,STĂNEŞTI,105295,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:32:25",332,279,2,29,22,219,168,0,29,22,207,12,303,84,3,44,7,134,17,2
