precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
32,"SATU MARE","SCOALA GIMNAZIALA ALICENI",307,TÂRŞOLŢ,139143,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:54:35",383,356,9,13,5,144,133,0,6,5,126,18,388,244,11,12,76,0,0,24,1,2
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” ( ŞC. CU CLS.I-VIII ” AVRAM IANCU ”)",36,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:57:55",1125,1105,0,19,1,493,482,0,10,1,484,9,1200,707,44,74,77,224,7,38,7,13
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”)",38,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:06",1375,1363,6,3,3,615,609,0,3,3,609,6,1500,885,29,91,85,338,7,38,11,10
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”)",37,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:23",1271,1263,0,5,3,582,574,0,5,3,570,12,1400,818,32,91,69,305,5,55,2,11
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”)",39,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:59:48",1225,1214,0,8,3,530,519,0,8,3,525,5,1300,770,28,97,73,257,6,54,5,5
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”) (GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICELUL”)",40,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:23",1243,1235,1,6,1,541,534,0,6,1,535,6,1400,859,35,71,68,285,8,49,6,13
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”) (GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICELUL” CORP ” B ”)",35,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:39:29",1127,1120,0,6,1,449,442,0,6,1,441,8,1197,748,16,57,70,247,6,26,8,11
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” BĂLCESCU-PETOFI ” (ŞC. CU CLS.I-VIII ” BĂLCESCU-PETOFI ”)",29,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:00:40",1327,1315,1,7,4,591,580,0,7,4,571,20,1500,909,43,90,73,286,4,54,14,7
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” BĂLCESCU-PETOFI ” (ŞC. CU CLS.I-VIII ” BĂLCESCU-PETOFI ”)",31,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:31",1318,1278,0,5,35,514,474,0,5,35,502,12,1400,886,39,59,75,287,6,21,10,5
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” BĂLCESCU-PETOFI ” (ŞC. CU CLS.I-VIII ” BĂLCESCU-PETOFI ”)",30,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:43",1743,1729,0,5,9,749,735,0,5,9,728,21,2000,1251,41,83,85,420,11,61,14,13
32,"SATU MARE","SCOALA GIMNAZIALA BĂTARCI",132,BĂTARCI,136919,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:47:32",1879,1848,0,16,15,825,794,0,16,15,751,74,2000,1175,90,327,275,8,10,7,14,20
32,"SATU MARE","SCOALA GIMNAZIALA BELTIUG",137,BELTIUG,136964,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:05:31",1147,1084,8,18,37,695,636,4,18,37,639,56,1167,472,72,91,242,208,4,13,7,2
32,"SATU MARE","SCOALA GIMNAZIALA CAMIN",163,CĂMIN,179677,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:41:17",1138,1103,4,9,22,697,664,2,9,22,645,52,1239,542,13,26,27,574,0,3,2,0
32,"SATU MARE","SCOALA GIMNAZIALA CERTEZE",175,CERTEZE,137407,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:03:30",1448,1425,1,7,15,531,509,0,7,15,458,73,1587,1056,51,95,188,12,3,72,23,14
32,"SATU MARE","SCOALA GIMNAZIALA CERTEZE",176,CERTEZE,137407,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:50",1422,1417,0,0,5,569,564,0,0,5,494,75,1563,994,63,99,229,19,6,45,18,15
32,"SATU MARE","ŞCOALA GIMNAZIALĂ CIDREAG",273,PORUMBEŞTI,180028,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:27:29",864,853,0,4,7,464,453,0,4,7,368,96,948,484,10,29,4,318,0,3,2,2
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” CONSTANTIN BRÂNCOVEANU ”",68,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:09:17",1430,1400,14,11,5,644,628,0,11,5,630,10,1600,949,32,102,104,302,8,51,12,19
32,"SATU MARE","SCOALA GIMNAZIALA CU CLASELE I-IV OSVAREU",155,BOTIZ,137185,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:33:40",1828,1804,2,6,16,832,810,0,6,16,793,39,2000,1168,73,170,196,258,10,57,23,6
32,"SATU MARE","ȘCOALA GIMNAZIALĂ DOBRA",296,SUPUR,138921,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:56:14",760,745,0,6,9,402,387,0,6,9,372,30,800,398,4,43,5,317,0,1,2,0
32,"SATU MARE","SCOALA GIMNAZIALA DRAGUSENI",321,TURULUNG,139214,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:13",1161,1146,3,3,9,416,402,2,3,9,394,22,1262,846,96,152,97,13,3,8,20,5
32,"SATU MARE","ŞCOALA GIMNAZIALĂ DR. STEFAN VONHÁZ",260,PETREŞTI,138501,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:56",1310,1280,4,2,24,443,416,1,2,24,405,38,1400,957,14,35,9,338,1,4,3,1
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” DR. VASILE LUCACIU ” ( SC. CU CL. I-VIII ”DR. V. LUCACIU” )",50,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:17:39",955,937,3,7,8,524,509,0,7,8,509,15,1000,476,20,70,71,301,5,23,7,12
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” DR. VASILE LUCACIU ” ( SC. CU CL. I-VIII ”DR. V. LUCACIU” )",49,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:55:43",1159,1143,2,10,4,568,553,1,10,4,556,12,1300,732,26,76,55,353,3,22,6,15
32,"SATU MARE","ŞCOALA GIMNAZIALĂ ” FÉNYI ISTVÁN ” CĂPLENI",165,CĂPLENI,136553,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:46",1485,1444,2,3,36,838,799,0,3,36,821,17,1600,762,7,20,2,787,1,3,0,1
32,"SATU MARE","ȘCOALA GIMNAZIALĂ GHERȚA MARE, CORP A",318,TURŢ,139170,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:40",1380,1377,0,2,1,510,507,0,2,1,460,50,1517,1007,53,79,187,3,11,117,5,5
32,"SATU MARE","ȘCOALA GIMNAZIALĂ GIOROCUTA",297,SUPUR,138921,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:04:36",624,615,0,6,3,332,323,0,6,3,315,17,700,368,33,148,124,2,1,2,3,2
32,"SATU MARE","SCOALA GIMNAZIALA GIURTELECU HODODULUI",211,HODOD,137844,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:24:42",422,395,0,7,20,285,258,0,7,20,265,20,500,215,27,163,42,2,3,4,14,10
