precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL PATRIOȚILOR-voturi","FORȚA DREPTEI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERTICALA NOUĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"DISPENSAR UMAN",416,"SUCIU DE SUS",109041,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:03:48",806,781,1,19,5,518,494,0,19,5,496,22,900,382,23,1,55,59,154,1,3,0,12,3,5,16,5,159
26,MARAMUREŞ,"ECHIPAMENT CONTAINER MODULAR",2,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:42:05",919,908,1,10,0,435,425,0,10,0,419,16,1000,565,42,1,17,30,85,3,5,3,8,61,23,11,15,115
26,MARAMUREŞ,"FOSTUL DISPENSAR",203,"ORAŞ TÂRGU LĂPUŞ",106817,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:13:00",221,212,0,7,2,133,124,0,7,2,131,2,300,167,6,0,0,8,67,3,0,0,0,0,0,5,0,42
26,MARAMUREŞ,"FOSTUL SEDIUL AL PRIMĂRIEI",261,BOTIZA,107485,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:53:52",1958,1890,0,11,57,1127,1059,0,11,57,1088,39,1947,820,35,1,5,78,147,85,1,13,2,0,0,5,11,705
26,MARAMUREŞ,"GAL BAIA MARE",70,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:43",1300,1290,0,10,0,484,474,0,10,0,465,19,1500,1016,60,1,23,16,85,3,3,1,17,36,17,14,29,160
26,MARAMUREŞ,"GOSPODĂRIE INDIVIDUALĂ",345,MOISEI,108348,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:33:02",1213,1191,1,6,15,695,674,0,6,15,657,38,1300,605,29,3,10,53,239,11,3,0,3,0,1,8,14,283
26,MARAMUREŞ,GRĂDINIŢA,377,REMEŢI,108552,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:19:54",809,800,1,1,7,369,361,0,1,7,350,19,900,531,7,1,1,21,135,0,0,59,2,0,4,12,9,99
26,MARAMUREŞ,GRĂDINIŢA,223,"ORAŞ VIŞEU DE SUS",106979,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 20:53:06",759,747,0,11,1,412,400,0,11,1,397,15,780,368,5,0,4,5,244,6,0,1,0,0,0,1,9,122
26,MARAMUREŞ,GRĂDINIŢĂ,202,"ORAŞ TÂRGU LĂPUŞ",106817,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:59:04",593,587,0,6,0,334,328,0,6,0,326,8,600,266,10,0,1,19,88,1,1,0,5,0,1,3,2,195
26,MARAMUREŞ,GRĂDINIȚA,199,"ORAŞ TÂRGU LĂPUŞ",106817,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:48:15",629,620,1,8,0,349,341,0,8,0,339,10,700,351,6,0,4,20,127,2,6,0,0,4,3,2,4,161
