precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CSOMA BOTOND-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CORDOŞ ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞIPOŞ EUGEN-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TIŞE ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","NICULA FLORIAN-ALEXANDRU-PARTIDUL S.O.S. ROMÂNIA-voturi","OROS NECHITA-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"ȘCOALA PRIMARĂ AGÂRBICIU",380,"CĂPUŞU MARE",56568,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:08:16",405,358,0,40,7,333,286,0,40,7,317,16,401,68,4,64,22,206,4,17
13,CLUJ,"ŞCOALA PRIMARĂ CU CLASELE I-IV",604,RIŞCA,59238,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:56:41",148,137,0,9,2,102,91,0,9,2,97,5,151,49,1,42,8,41,1,4
13,CLUJ,"ŞCOALA PRIMARĂ CU CLASELE I-IV",603,RIŞCA,59238,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:58:28",320,301,0,16,3,236,217,0,16,3,217,19,330,94,0,108,19,75,6,9
13,CLUJ,"ŞCOALA PRIMARĂ DEALU BOTII",340,BELIŞ,56014,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:01:51",61,52,0,9,0,42,33,0,9,0,41,1,56,14,0,7,10,17,3,4
13,CLUJ,"ȘCOALA PRIMARĂ FEIURDENI",406,CHINTENI,56988,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:02:05",453,409,4,36,4,312,272,0,36,4,298,14,457,145,2,175,18,75,12,16
13,CLUJ,"SCOALA PRIMARA FIZESU GHERLII",444,"FIZEŞU GHERLII",57644,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:44:53",1088,1077,0,9,2,556,545,0,9,2,507,49,1207,651,214,27,37,141,13,75
13,CLUJ,"ŞCOALA PRIMARĂ FODORA",321,AŞCHILEU,55776,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:06:37",209,187,0,20,2,131,109,0,20,2,125,6,206,75,19,40,5,54,2,5
13,CLUJ,"SCOALA PRIMARA IACOBENI",402,"CEANU MARE",56844,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:09:22",499,487,1,9,2,316,305,0,9,2,281,35,537,221,4,72,76,65,9,55
13,CLUJ,"ŞCOALA PRIMARA MORLACA",593,POIENI,59041,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:32:09",556,552,0,4,0,318,314,0,4,0,297,21,608,290,2,117,35,123,7,13
13,CLUJ,"ŞCOALA PRIMARĂ MUNTELE BĂIŞORII",334,BĂIŞOARA,55918,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:41:44",279,270,0,1,8,194,185,0,1,8,187,7,310,116,4,58,28,60,8,29
13,CLUJ,"ŞCOALA PRIMARǍ POIANA HOREA",342,BELIŞ,56014,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:25:06",254,242,1,5,6,196,184,1,5,6,177,19,279,83,1,53,44,54,10,15
13,CLUJ,"ȘCOALA PRIMARĂ RECEA -CRISTUR",596,RECEA-CRISTUR,59130,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:14:27",580,501,1,29,49,395,316,1,29,49,384,11,607,212,1,46,19,306,6,6
13,CLUJ,"ŞCOALA PRIMARĂ SĂCEL",337,BĂIŞOARA,55918,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:31:59",350,341,0,3,6,225,216,0,3,6,215,10,387,162,1,62,58,61,6,27
13,CLUJ,"ŞCOALA PRIMARĂ SMIDA",343,BELIŞ,56014,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:03:31",47,39,0,8,0,26,18,0,8,0,25,1,43,17,0,10,4,10,0,1
13,CLUJ,"ȘCOALA PRIMARĂ URCA CORP I",668,VIIŞOARA,60062,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:17:17",749,742,1,4,2,338,332,0,4,2,312,26,821,483,3,144,19,109,15,22
