precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",957,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 04:47:08",852,802,49,1,0,311,311,0,0,0,298,13,900,589,74,26,18,6,7,26,107,8,26
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",956,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:33:32",630,614,11,5,0,299,294,0,5,0,292,7,700,400,49,45,25,5,7,16,115,4,26
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",960,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 20:37:04",589,566,1,7,15,220,197,1,7,15,217,3,800,580,50,27,16,7,7,30,51,3,26
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",959,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:47:10",727,692,24,11,0,304,292,1,11,0,290,14,800,496,65,28,18,5,11,23,103,3,34
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",958,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 03:37:03",442,421,18,2,1,155,152,0,2,1,151,4,600,445,42,20,9,2,5,13,44,3,13
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1083,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 07:21:58",1946,1873,43,30,0,1140,1110,0,30,0,978,20,1900,902,127,211,52,17,14,27,421,9,100
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1082,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 10:25:56",1509,1496,6,7,0,638,631,0,7,0,610,21,1500,869,153,107,38,12,20,38,188,15,39
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1084,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-11 20:34:03",1569,1515,23,29,2,760,729,0,29,2,743,17,1410,650,150,135,37,13,17,15,277,19,80
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1085,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-11 12:09:34",1623,1595,17,11,0,667,656,0,11,0,642,25,1600,933,134,123,53,13,20,28,192,12,67
44,"Sector 1","COLEGIUL NAŢIONAL ”I.L. CARAGIALE”",61,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-11 21:34:13",1098,1073,9,16,0,564,548,0,16,0,555,8,1300,737,138,71,39,13,10,24,212,14,34
