precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 2 ”FLORIAN PORCIUS” RODNA",229,RODNA,34333,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:20:09",926,909,0,8,9,587,570,0,8,9,564,23,985,398,88,97,0,47,327,5
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 2 ”FLORIAN PORCIUS” RODNA",230,RODNA,34333,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:21:05",933,916,2,2,13,580,565,0,2,13,573,7,1000,420,87,119,3,66,297,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 4",32,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:02:31",1726,1715,6,4,1,822,817,0,4,1,805,17,1900,1078,66,314,7,45,353,20
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 4",31,"MUNICIPIUL BISTRIŢA",32394,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:42:45",1709,1701,4,4,0,923,919,0,4,0,914,9,1900,977,55,393,6,25,417,18
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ NR. 4",33,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:52:36",1231,1221,0,10,0,493,483,0,10,0,481,12,1350,857,36,163,3,27,243,9
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 7 VIIŞOARA",57,"MUNICIPIUL BISTRIŢA",32394,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:03:08",1552,1523,4,24,1,673,648,0,24,1,640,33,1770,1097,27,270,6,59,266,12
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR.7 VIIŞOARA",58,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:07:11",1205,1194,7,4,0,554,550,0,4,0,544,10,1370,816,24,221,1,35,253,10
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ PIATRA FÎNTÎNELE",299,"TIHA BÂRGĂULUI",35090,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:20:31",320,310,0,8,2,171,162,0,8,1,162,9,345,174,5,35,1,18,101,2
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ REBRA CLASELE I-IV",223,REBRA,34262,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:38:47",1042,1020,1,8,13,646,625,0,8,13,611,35,1150,504,46,284,0,102,179,0
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ REBRA CLASELE I-IV",224,REBRA,34262,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:41:58",1114,1079,1,17,17,645,613,0,17,15,623,22,1150,505,41,267,2,145,167,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ SEBIŞ",272,ŞIEUŢ,34850,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:05:47",667,649,1,1,16,502,485,0,1,16,484,18,700,198,24,126,1,19,313,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”SEVER POP” POIANA ILVEI",218,"POIANA ILVEI",179720,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:17",1197,1152,0,0,45,834,789,0,0,45,819,15,1319,485,50,150,0,55,564,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ SIMIONEŞTI",96,"BUDACU DE JOS",32704,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:25:21",179,169,1,2,7,113,104,1,2,6,107,6,200,87,4,34,0,4,65,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ SITA",249,SPERMEZEU,34547,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 21:08:32",173,163,0,3,7,173,163,0,3,7,167,6,284,111,0,110,0,10,47,0
