precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"COLEGIUL TEHNIC DE TRANSPORTURI",55,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:07",1109,1096,5,8,0,422,414,0,8,0,390,18,1200,792,128,96,40,7,10,45,2,34,28
29,NEAMŢ,"COLEGIUL TEHNIC FORESTIER",56,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:39:01",1216,1210,0,6,0,483,477,0,6,0,449,34,1300,817,148,122,59,3,10,60,12,14,21
29,NEAMŢ,"COLEGIUL TEHNIC FORESTIER",57,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:31:08",1322,1309,3,10,0,570,560,0,10,0,543,27,1400,830,158,147,71,5,11,75,13,20,43
29,NEAMŢ,"COLEGIUL TEHNIC ”ION CREANGĂ”, CORP B",144,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:13:05",1804,1798,0,6,0,56,50,0,6,0,55,1,2000,1944,22,15,6,1,0,3,1,7,0
29,NEAMŢ,"COLEGIUL TEHNIC ”ION CREANGĂ”, CORP B",143,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:54:39",1698,1684,2,10,2,916,903,1,10,2,885,31,1801,885,450,181,90,9,12,68,13,53,9
29,NEAMŢ,"COLEGIUL TEHNIC „MIRON COSTIN”",99,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:46",1175,1166,0,9,0,322,313,0,9,0,302,20,1300,978,108,122,21,5,4,13,2,17,10
29,NEAMŢ,"COLEGIUL TEHNIC „PETRU PONI” - CORP A",112,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:18",1128,1118,0,9,1,434,424,0,9,1,410,24,1200,766,121,154,47,4,1,48,2,30,3
29,NEAMŢ,"COLEGIUL TEHNIC „PETRU PONI” - CORP B",113,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:19:35",1403,1386,9,8,0,613,605,0,8,0,586,27,1500,887,210,209,41,3,13,58,9,39,4
29,NEAMŢ,"COMPLEXUL EXPOZIȚIONAL MUNICIPAL",45,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:27:52",1254,1244,2,7,1,569,561,0,7,1,549,20,1400,831,190,133,55,4,12,85,8,25,37
29,NEAMŢ,"CONTAINER MODULAR",164,BĂLŢĂTEŞTI,121242,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:36:43",515,499,0,10,6,280,264,0,10,6,260,20,600,320,127,61,20,1,13,12,13,8,5
29,NEAMŢ,"CREŞA SMIRODAVA",96,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:54:03",1303,1297,2,4,0,496,491,1,4,0,469,27,1400,904,156,180,47,6,4,42,2,27,5
29,NEAMŢ,"DIRECȚIA AGRICOLĂ",43,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:29",1217,1210,0,7,0,543,536,0,7,0,508,35,1300,757,194,106,56,6,9,71,14,21,31
29,NEAMŢ,"DIRECŢIA DE ASISTENŢĂ SOCIALĂ ROMAN",104,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:27:55",1021,1011,3,7,0,412,405,0,7,0,391,21,1100,688,148,145,35,0,4,30,4,16,9
29,NEAMŢ,"DISPENSARUL UMAN ROZNOV",130,"ORAŞ ROZNOV",124117,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:47",1525,1516,0,5,4,727,718,0,5,4,679,48,1600,873,319,123,54,4,15,41,91,26,6
29,NEAMŢ,"FOSTA GRĂDINIȚĂ DE COPII BÎRGĂUANI DEAL",167,BÂRGĂUANI,121466,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:15",437,411,0,12,14,279,253,0,12,14,273,6,500,221,184,53,18,0,1,8,1,8,0
29,NEAMŢ,"FOSTA SCOALĂ BOZIENII DE SUS",402,RUGINOASA,125105,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:12:20",293,245,0,12,36,214,169,0,12,33,206,8,400,186,78,103,9,0,1,7,0,7,1
29,NEAMŢ,"FOSTA ŞCOALA CU CLASELE I-IV,LOCALITATEA ŢUŢCANII DIN VALE",162,BAHNA,121153,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:37",263,236,0,9,18,167,140,0,9,18,160,7,300,133,125,33,1,0,0,0,0,0,1
29,NEAMŢ,"FOSTA SCOALA CU CLASELE I-IV SATUL HOCIUNGI",332,MOLDOVENI,123228,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:23",641,608,0,0,33,418,385,0,0,33,372,46,700,282,57,182,79,3,8,30,2,8,3
29,NEAMŢ,"FOSTA ȘCOALĂ PRIMARĂ BREAZA",169,BÂRGĂUANI,121466,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:05",154,151,0,1,2,105,102,0,1,2,103,2,199,94,60,6,9,1,0,18,4,2,3
29,NEAMŢ,"FOSTA ȘCOALĂ PRIMARĂ CERTIENI",170,BÂRGĂUANI,121466,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:20:50",165,156,0,9,0,103,94,0,9,0,96,7,200,97,50,24,9,1,0,5,0,3,4
29,NEAMŢ,"FOSTA ȘCOALA PRIMARĂ (SALA DE FESTIVITĂȚI)",467,ŢIBUCANI,124803,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:22",310,301,0,9,0,154,145,0,9,0,146,8,400,246,75,41,18,0,0,5,0,6,1
29,NEAMŢ,"FOSTA ȘCOALĂ PRIMARĂ VLĂDICENI",173,BÂRGĂUANI,121466,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:25:30",441,434,0,6,1,226,219,0,6,1,215,11,500,274,100,72,13,1,0,9,0,18,2
29,NEAMŢ,GRADINITA,446,TĂMĂŞENI,124634,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:16",1390,1387,0,3,0,518,515,0,3,0,491,27,1500,982,84,223,26,1,5,132,4,12,4
29,NEAMŢ,GRADINITA,301,GRUMĂZEŞTI,122908,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:01",946,937,1,1,7,529,520,1,1,7,503,26,1000,471,326,49,106,2,1,8,2,8,1
29,NEAMŢ,GRADINITA,300,GRUMĂZEŞTI,122908,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:42:51",1316,1303,0,4,9,759,746,0,4,9,740,19,1400,641,467,84,147,1,1,19,6,10,5
29,NEAMŢ,GRADINITA,450,TĂMĂŞENI,124634,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:09:34",1042,1035,0,7,0,340,333,0,7,0,307,33,1100,760,46,131,26,7,10,65,3,18,1
29,NEAMŢ,GRĂDINIŢA,440,TARCĂU,124493,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:00:12",433,423,0,7,3,259,249,0,7,3,255,4,500,241,100,92,29,1,1,19,3,7,3
29,NEAMŢ,GRĂDINIŢA,441,TARCĂU,124493,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:52",528,525,0,2,1,272,269,0,2,1,248,24,600,328,63,84,36,1,2,46,1,13,2
29,NEAMŢ,GRĂDINIŢA,327,MĂRGINENI,123175,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:46:56",900,872,0,14,14,471,443,0,14,14,448,23,1000,529,224,182,16,1,1,7,1,13,3
