precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRICA MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","BALANIŞCU BOGDAN-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIUHODARU TUDOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PINTILEI MIHAIL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BODEA MARIUS-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BLĂJUŢ VIOREL-IONEL-PARTIDUL SOCIETĂȚII IEȘENE-voturi","CHICHIRĂU COSETTE-PAULA-PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi","ABALAŞEI CĂTĂLIN-PETRONEL-PARTIDUL PRO ROMÂNIA-voturi","BUDUROI IOAN-SEBASTIAN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”DIMITRIE A. STURDZA”",202,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:38",886,880,0,6,0,306,300,0,6,0,301,4,1000,694,100,37,40,3,81,11,22,7,0
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”DIMITRIE A. STURDZA”",204,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:08",1449,1438,3,8,0,420,412,0,8,0,414,6,1600,1180,93,37,41,3,103,16,114,3,4
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”DIMITRIE A. STURDZA”",205,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:18",977,973,0,4,0,262,258,0,4,0,256,6,1100,838,72,31,39,1,73,6,33,1,0
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”DIMITRIE A.STURDZA”",206,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:21",829,825,0,4,0,375,371,0,4,0,371,4,900,525,145,35,33,0,70,8,69,1,10
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”DIMITRIE A.STURDZA”",209,"MUNICIPIUL IAŞI",95060,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:32:52",1393,1384,2,7,0,590,583,0,7,0,568,22,1500,910,198,84,46,3,134,9,84,5,5
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”DIMITRIE A.STURDZA”",207,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:15:38",995,990,1,4,0,373,369,0,4,0,368,5,1100,727,133,36,28,1,104,9,50,5,2
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”DIMITRIE A.STURDZA”",208,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:25",1196,1190,0,6,0,507,501,0,6,0,496,11,1300,793,167,54,48,2,122,15,81,3,4
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ELENA CUZA”",3,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:42",1266,1260,0,6,0,564,558,0,6,0,551,13,1400,836,179,99,41,1,141,17,68,3,2
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ELENA CUZA”",4,"MUNICIPIUL IAŞI",95060,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:51:09",1037,1031,1,5,0,416,411,0,5,0,409,7,1200,784,142,53,32,8,101,7,58,5,3
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ELENA CUZA”",6,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:17",1419,1409,1,9,0,593,584,0,9,0,583,10,1600,1007,206,76,53,5,139,10,85,5,4
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ELENA CUZA”",5,"MUNICIPIUL IAŞI",95060,4,PART,PRCNCT,P,P_SV,"2024-06-10 14:38:18",1458,1450,1,6,1,554,547,0,6,1,540,14,1600,1046,194,72,52,2,134,10,66,4,6
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",110,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:24",1515,1509,0,5,1,526,520,0,5,1,520,6,1700,1174,169,95,35,2,123,16,68,5,7
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",108,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:28",1651,1649,0,2,0,523,521,0,2,0,520,3,1800,1277,158,87,47,2,120,16,81,5,4
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",113,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:09:55",1579,1572,1,6,0,429,423,0,6,0,415,8,1800,1371,146,54,36,2,114,5,53,4,1
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",107,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:26:53",1575,1570,0,5,0,407,402,0,5,0,398,9,1700,1293,140,51,54,2,90,10,46,2,3
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",111,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:57",1515,1508,0,7,0,570,563,0,7,0,558,12,1700,1130,224,82,50,2,115,11,67,5,2
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",114,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:41",1515,1510,1,4,0,527,523,0,4,0,517,10,1700,1173,160,66,51,4,126,16,78,9,7
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",115,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:26",1577,1569,1,7,0,547,540,0,7,0,541,6,1700,1153,171,73,51,2,146,15,69,8,6
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",109,"MUNICIPIUL IAŞI",95060,3,PART,PRCNCT,P,P_SV,"2024-06-10 12:19:16",1483,1474,4,5,0,544,539,0,5,0,531,13,1600,1056,196,81,34,1,128,14,68,1,8
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",112,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:06",1566,1563,0,3,0,578,575,0,3,0,567,11,1700,1122,196,67,52,9,140,10,74,11,8
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE COŞBUC”",105,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:50:04",973,969,0,4,0,416,412,0,4,0,412,4,1100,684,133,66,40,0,105,11,51,3,3
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”GEORGE COŞBUC”",103,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:15",1125,1121,0,4,0,448,444,0,4,0,443,5,1200,752,191,60,49,2,89,16,30,1,5
