precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CENTRUL COMUNITAR DE SERVICII INTEGRATE LIVEZENI",432,LIVEZENI,117925,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:05",1056,1039,6,5,6,601,587,3,5,6,583,18,1159,558,67,73,376,10,36,2,15,4
28,MUREŞ,"CENTRUL CULTURAL ”DOMOKOS KÁZMÉR” SOVATA",197,"ORAŞ SOVATA",114854,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:52:58",1503,1499,1,2,1,634,631,0,2,1,576,58,1670,1036,26,9,525,8,6,1,0,1
28,MUREŞ,"CENTRUL CULTURAL ”MIHAI EMINESCU”",31,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:08",916,747,118,21,30,462,411,0,21,30,442,11,980,527,91,63,198,13,48,4,22,3
28,MUREŞ,"CENTRUL DE DOCUMENTARE ȘI INFORMARE",423,IBĂNEŞTI,117550,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:53:16",1351,1317,1,3,30,804,771,0,3,30,770,33,1433,630,414,194,5,104,37,3,4,9
28,MUREŞ,"CENTRUL NAȚIONAL DE INFORMARE ȘI PROMOVARE TURISTICĂ SOVATA",196,"ORAŞ SOVATA",114854,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:34:33",460,447,6,7,0,181,174,0,7,0,173,8,500,319,15,22,121,8,6,0,0,1
28,MUREŞ,"CENTRUL PENTRU ACTIVITĂȚI CULTURALE LECHINCIOARA",542,ŞINCAI,119803,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:11:49",114,82,1,28,3,97,66,0,28,3,92,5,99,2,14,25,3,41,6,0,1,2
28,MUREŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ NR.1",57,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:07:02",1458,1427,5,11,15,805,779,0,11,15,785,20,1590,785,166,113,387,29,24,52,9,5
28,MUREŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ NR.1",58,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:05:21",1483,1453,3,8,19,607,580,0,8,19,503,104,1620,1013,216,43,156,46,18,12,8,4
28,MUREŞ,"CENTRUL SOCIAL VICTORIA",146,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:33:31",1050,1042,3,4,1,463,456,2,4,1,441,22,1150,687,150,134,27,76,27,6,15,6
28,MUREŞ,"CLĂDIREA BAZEI SPORTIVE ISLA",421,HODOŞA,117505,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:44:27",213,213,0,0,0,115,115,0,0,0,94,21,235,120,13,3,75,0,1,1,0,1
28,MUREŞ,"CLĂDIREA FOSTULUI CAP POARTA",363,FĂRĂGĂU,116723,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:07:19",181,177,0,2,2,132,128,0,2,2,122,10,204,72,26,31,8,50,3,0,3,1
28,MUREŞ,"CLUB-CĂMIN CULTURAL",292,BRÂNCOVENEŞTI,115897,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:35:22",1040,995,1,6,38,544,500,0,6,38,523,21,1090,546,14,10,473,11,7,0,4,4
28,MUREŞ,"CLUBUL COPIILOR",87,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:06",1360,1347,3,5,5,694,684,0,5,5,662,32,1450,755,162,153,180,28,123,2,7,7
28,MUREŞ,"CLUBUL PENSIONARILOR NR. 2",145,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:58",1090,1082,2,6,0,425,419,0,6,0,403,22,1196,771,94,112,65,75,25,7,16,9
28,MUREŞ,"CLUBUL TINERETULUI",341,DANEŞ,116493,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:21:00",1028,1020,1,5,2,547,540,0,5,2,509,38,1120,573,243,211,2,27,15,1,2,8
28,MUREŞ,"CLUBUL TINERETULUI ȘĂULIA",540,ŞĂULIA,119750,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:35:41",284,249,0,27,8,207,172,0,27,8,186,21,290,83,98,57,1,25,2,1,2,0
28,MUREŞ,"COLEGIUL AGRICOL ”TRAIAN SAVULESCU”",13,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:51:43",1494,1457,12,14,11,784,758,1,14,11,764,20,1630,846,134,84,366,46,64,2,61,7
28,MUREŞ,"COLEGIUL NAŢIONAL ”UNIREA”",32,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:23:37",1662,1585,58,16,3,914,894,1,16,3,900,13,1770,850,124,156,438,42,70,7,62,1
28,MUREŞ,"COLEGIUL ”PETRU MAIOR”",90,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:48:48",1915,1899,3,5,8,925,912,0,5,8,908,17,2100,1175,307,210,181,53,135,5,7,10
28,MUREŞ,"COLEGIUL ”PETRU MAIOR”",91,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:43",1487,1482,1,2,2,682,678,0,2,2,651,31,1650,968,184,109,200,61,79,1,10,7
