precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"ȘCOALA GIMNAZIALĂ NR.3 CUGIR",137,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:13",958,946,3,9,0,465,456,0,9,0,454,11,1100,635,138,9,187,37,17,62,4
1,ALBA,"ȘCOALA GIMNAZIALĂ OHABA",334,OHABA,6164,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:20:48",362,316,0,26,20,268,222,0,26,20,234,13,387,140,68,2,138,19,3,4,0
1,ALBA,"ŞCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",54,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:44",967,961,0,5,1,433,427,0,5,1,409,18,1059,632,141,78,90,54,11,26,9
1,ALBA,"ŞCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",55,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:31:40",505,495,0,9,1,505,495,0,9,1,496,9,1250,745,162,89,150,31,14,36,14
1,ALBA,"ȘCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",53,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:04:04",1428,1414,1,9,4,663,650,0,9,4,643,20,1600,937,239,95,171,51,15,43,29
1,ALBA,"ȘCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",52,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:32",1319,1309,0,7,3,631,621,0,7,3,614,17,1450,819,238,96,148,50,19,44,19
1,ALBA,"ŞCOALA GIMNAZIALĂ PETREŞTI",110,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:55",1468,1459,9,0,0,630,630,0,0,0,604,26,1608,978,122,7,275,134,34,28,4
1,ALBA,"ŞCOALA GIMNAZIALĂ PETREŞTI",111,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:41",1555,1536,7,7,5,695,683,0,7,5,663,24,1688,1000,98,6,329,144,41,41,4
1,ALBA,"ŞCOALA GIMNAZIALĂ PETREŞTI",109,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:59",1527,1508,15,3,1,685,681,0,3,1,654,31,1668,983,100,8,308,160,35,41,2
1,ALBA,"ŞCOALA GIMNAZIALĂ ”PETRU PAVEL ARON” BLAJ",87,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:08",1677,1655,6,14,2,814,798,0,14,2,786,28,1800,986,163,13,427,47,32,96,8
1,ALBA,"ŞCOALA GIMNAZIALĂ PIANU DE SUS",337,PIANU,6217,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:23",1343,1301,2,2,38,919,879,0,2,38,871,47,1471,553,272,12,384,80,33,81,9
1,ALBA,"ȘCOALA GIMNAZIALĂ RĂCHITA",377,SĂSCIORI,7099,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:06:25",782,778,1,3,0,488,485,0,3,0,459,29,856,368,173,6,200,70,7,2,1
1,ALBA,"ŞCOALA GIMNAZIALĂ RĂHĂU",112,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:45",860,851,1,4,4,455,447,0,4,4,439,16,988,533,118,2,226,68,13,11,1
1,ALBA,"ŞCOALA GIMNAZIALĂ ŞARD",280,IGHIU,4927,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:31:39",979,959,9,11,0,523,511,1,11,0,500,23,1050,527,168,9,224,44,23,31,1
1,ALBA,"ŞCOALA GIMNAZIALĂ ŞARD",281,IGHIU,4927,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:35:06",1175,1166,3,5,1,585,579,0,5,1,546,28,1300,715,176,14,232,53,16,51,4
1,ALBA,"ȘCOALA GIMNAZIALĂ SĂSCIORI",373,SĂSCIORI,7099,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:58:39",1328,1317,2,7,2,752,743,0,7,2,730,22,1456,704,216,4,423,46,14,19,8
1,ALBA,"ŞCOALA GIMNAZIALĂ ” SAVA ALBESCU ” SAT FENEŞ",176,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:06:16",726,698,0,8,20,544,516,0,8,20,533,11,808,264,128,3,363,22,5,11,1
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SEPTIMIU ALBINI”",243,CUT,9019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:05",1086,1055,1,15,15,757,726,1,15,15,711,18,1200,471,259,6,360,29,29,25,3
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION BĂRNUŢIU” TIUR",91,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:19",658,640,0,4,14,658,640,0,4,14,633,25,1454,796,73,46,405,35,26,48,0
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION LAZĂR” LUNCA MUREŞULUI, STRADA GĂRII NR. 241 A",302,"LUNCA MUREŞULUI",5309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:22:31",767,751,0,3,13,461,445,0,3,13,432,29,830,369,99,133,129,38,16,14,3
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION LAZĂR” LUNCA MUREȘULUI, STRADA GĂRII NR. 241 A",303,"LUNCA MUREŞULUI",5309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:07:23",898,882,0,8,8,599,583,0,8,8,563,36,1000,401,56,295,167,12,15,12,6
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION PANTEA” SĂLCIUA",368,SĂLCIUA,6976,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:36:05",539,501,1,12,25,368,331,0,12,25,354,14,600,232,47,2,221,54,3,15,12
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",142,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:31:28",1168,1160,1,7,0,418,411,0,7,0,381,37,1300,882,139,6,127,36,28,43,2
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",140,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:29:57",1045,1033,1,9,2,435,424,0,9,2,421,14,1200,765,156,4,128,41,19,70,3
