precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ FRASINU",210,CORNEŞTI,67014,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:25:29",486,465,2,19,0,272,253,0,19,0,256,16,517,245,111,21,18,98,8
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GHEBOAIA",249,FINTA,67470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:17:37",774,768,0,3,3,475,469,0,3,3,438,37,850,375,102,180,32,116,8
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GHEBOAIA",248,FINTA,67470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:59",865,855,0,6,4,592,582,0,6,4,560,32,940,348,170,207,33,146,4
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GORGOTA",361,RĂZVAD,65431,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:10:24",1056,1047,0,9,0,584,575,0,9,0,572,12,1150,566,498,30,25,13,6
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GRECI",330,PETREŞTI,65752,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:35:18",1206,1188,1,4,13,771,754,0,4,13,735,36,1330,559,242,407,71,8,7
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",55,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:22",1306,1299,0,6,1,487,480,0,6,1,464,23,1450,963,328,46,43,30,17
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",57,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:10",748,738,1,7,2,323,314,0,7,2,315,8,830,507,215,32,29,31,8
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",56,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:50:19",1223,1212,1,10,0,480,470,0,10,0,444,26,1340,870,301,53,45,28,17
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",58,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:49",721,717,0,4,0,294,290,0,4,0,283,11,790,496,191,37,31,16,8
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE RĂDULESCU” BEZDEAD",142,BEZDEAD,66330,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:59:36",1433,1411,0,2,20,785,763,0,2,20,764,21,1580,795,184,541,24,9,6
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ GROZĂVEŞTI I",196,"CORBII MARI",66857,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:18:52",642,640,0,2,0,320,318,0,2,0,305,15,710,390,268,14,16,4,3
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ GURA FOII",253,"GURA FOII",65707,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:09:05",1213,1169,2,18,24,916,872,2,18,24,889,25,1280,366,500,322,37,18,12
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GURA VULCANEI",434,VULCANA-PANDELE,179640,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:23:21",812,807,0,5,0,415,410,0,5,0,404,11,890,475,253,67,55,25,4
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ GURA VULCANEI",433,VULCANA-PANDELE,179640,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:44:38",908,893,2,5,8,482,468,1,5,8,468,14,980,498,319,67,31,45,6
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IANCU VĂCĂRESCU” - VĂCĂREȘTI",408,VĂCĂREŞTI,69250,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:47:20",1128,1124,0,4,0,593,589,0,4,0,565,28,1240,647,257,224,53,20,11
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IANCU VĂCĂRESCU” - VĂCĂREȘTI",407,VĂCĂREŞTI,69250,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:49:49",1400,1397,0,3,0,787,784,0,3,0,745,33,1530,752,367,289,51,24,14
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ IEDERA DE JOS",268,IEDERA,65869,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:16:26",1206,1197,0,7,2,673,664,0,7,2,639,34,1319,646,236,250,89,58,6
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IOAN ALEXANDRU BRĂTESCU-VOINEȘTI”",37,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:12:41",843,836,0,7,0,251,244,0,7,0,228,23,930,679,146,23,32,16,11
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IOAN ALEXANDRU BRĂTESCU-VOINEȘTI”",35,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:16:38",1038,1030,4,4,0,443,439,0,4,0,435,8,1140,697,274,62,37,53,9
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IOAN ALEXANDRU BRĂTESCU-VOINEȘTI”",36,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:49",833,824,3,6,0,377,371,0,6,0,359,18,910,533,198,57,32,61,11
16,DÂMBOVIŢA,"SCOALA GIMNAZIALA ION CONSTANTINESCU VIISOARA",399,ULMI,65501,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:07:12",1174,1167,0,7,0,703,696,0,7,0,679,24,1290,587,536,61,49,21,12
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ ION HARALMBIE VALEA LUNGĂ GORGOTA",402,"VALEA LUNGĂ",69063,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:12",996,994,0,2,0,503,501,0,2,0,479,24,1100,597,327,42,78,24,8
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ JUGURENI",395,ULIEŞTI,68976,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:06:16",1229,1210,0,16,3,908,889,0,16,3,878,30,1340,432,376,431,44,12,15
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ LUCIANCA",165,BUTIMANU,101564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:22",425,408,0,15,2,331,314,0,15,2,317,14,450,119,268,13,29,4,3
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ MALU CU FLORI, NR. 139BIS",288,"MALU CU FLORI",67942,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:43",1140,1119,1,2,18,742,722,0,2,18,710,32,1230,488,507,105,32,59,7
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ MALURI",114,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:34:45",102,94,1,7,0,60,52,1,7,0,57,3,110,50,47,3,2,5,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ MĂNEȘTI",290,MĂNEŞTI,68002,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:13",1090,1085,2,3,0,664,661,0,3,0,631,33,1190,526,367,132,97,21,14
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MATEI BASARAB”",16,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:33:29",1390,1380,0,10,0,649,639,0,10,0,622,27,1530,881,377,111,50,65,19
