precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOLIDARITĂȚII SOCIALE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROGIN TUDOR-BOGDAN-voturi"
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU” - ȘCOALA PRIMARĂ",14,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:10:08",498,490,0,8,0,152,144,0,8,0,145,7,552,400,33,22,77,0,5,5,2,1
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC CĂRĂŞAN, REȘIȚA",43,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:57",1084,1076,2,6,0,387,381,0,6,0,379,8,1190,803,86,22,215,2,39,3,3,9
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC CĂRĂŞAN, REȘIȚA",44,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:59:04",922,913,5,4,0,317,313,0,4,0,313,4,1229,912,69,15,173,7,26,8,6,9
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC REȘIȚA",29,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:58:08",935,921,3,10,1,321,310,0,10,1,312,9,1023,702,55,22,188,5,19,15,1,7
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC REȘIȚA",28,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:06:06",729,719,5,5,0,305,300,0,5,0,304,1,796,491,69,22,178,2,17,12,1,3
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC REȘIȚA",27,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:43",1130,1124,2,4,0,378,374,0,4,0,367,11,1244,864,85,24,195,10,27,16,3,7
11,CARAŞ-SEVERIN,"DIRECȚIA SANITARĂ VETERINARĂ ȘI PENTRU SIGURANȚA ALIMENTELOR CARAȘ-SEVERIN",30,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:36:02",668,657,1,10,0,176,166,0,10,0,165,11,728,222,33,16,96,3,9,4,2,2
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL ”DEGEȚICA”",31,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:20",990,975,2,11,2,325,312,0,11,2,313,11,1127,802,78,34,154,11,16,13,1,6
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL DOMAN",67,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:18:32",575,569,1,5,0,156,151,0,5,0,152,4,628,472,32,26,78,1,3,8,0,4
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM PRELUNGIT „DUMBRAVA MINUNATĂ”, REȘIȚA",39,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:18",1282,1275,0,7,0,462,455,0,7,0,452,10,1405,943,120,42,240,9,20,13,1,7
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM PRELUNGIT „DUMBRAVA MINUNATĂ”, REȘIȚA",40,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:35:30",989,978,2,9,0,325,316,0,9,0,314,11,1079,754,69,20,177,13,20,10,0,5
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM PRELUNGIT „DUMBRAVA MINUNATĂ”, REȘIȚA",38,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:48:31",1232,1220,4,8,0,379,371,0,8,0,355,23,1349,971,68,46,187,9,27,6,4,8
11,CARAŞ-SEVERIN,"LICEUL DE ARTE ”SABIN PĂUȚA”",57,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:18",906,893,0,8,5,291,278,0,8,5,281,10,985,694,54,37,140,5,23,9,3,10
11,CARAŞ-SEVERIN,"LICEUL DE ARTE ”SABIN PĂUȚA”",58,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:25",1121,1111,3,3,4,388,381,0,3,4,380,8,1230,842,93,33,223,1,16,6,4,4
