precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ AGRIŞU DE JOS",263,ŞIEU-ODORHEI,34770,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:01",286,280,0,6,0,177,171,0,6,0,172,5,300,123,59,83,24,2,4,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ ALUNIŞUL",311,ZAGRA,35429,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:26:25",172,160,0,4,8,142,130,0,4,8,142,0,200,58,2,119,19,0,2,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ ARDAN",254,ŞIEU,34645,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:14",574,572,0,2,0,350,348,0,2,0,336,14,600,250,14,248,70,1,2,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ BECLENUŢ",65,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:22:14",330,321,0,7,2,195,186,0,7,2,184,11,350,155,11,87,76,1,8,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ BORLEASA",281,TÂRLIŞUA,35152,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:06:02",296,286,0,2,8,181,171,0,2,8,174,7,297,116,3,110,59,0,1,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ CEPARI",130,DUMITRA,33202,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:56:30",960,939,1,6,14,565,545,0,6,14,548,17,1041,476,39,176,297,9,27,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ CICEU-CORABIA",125,CICEU-MIHĂIEŞTI,179953,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:59:24",117,105,0,10,2,79,67,0,10,2,75,4,120,41,7,34,10,1,23,0
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GENERALĂ CLASELE I - IV NEPOS",138,FELDRU,33248,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:29:47",1553,1532,2,6,13,754,734,1,6,13,722,11,1598,844,15,353,329,3,22,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ CRISTEŞTII CICEULUI",303,URIU,35269,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:40:35",1011,979,1,14,17,581,550,0,14,17,561,20,1090,509,17,203,321,0,16,4
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ CRISTUR-ŞIEU",267,ŞIEU-ODORHEI,34770,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:29:55",379,372,2,4,1,246,241,0,4,1,239,7,400,154,24,85,123,2,4,1
