precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KERESKÉNYI GÁBOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TIŞEA LUCIAN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROCA RADU-TIBERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","GHIARFAŞ ADELIN-CRISTIAN-FORȚA DREPTEI-voturi","PANAIT RADU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BĂBUŢ DAN-PARTIDUL PATRIOȚILOR-voturi","PALINCAŞ VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi"
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” MIRCEA ELIADE ” ( ŞC. CU CLS.I-VIII” MIRCEA ELIADE ”)",23,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:00",1308,1292,3,8,5,533,520,0,8,5,527,6,1400,867,360,24,70,14,50,1,8
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” MIRCEA ELIADE ” ( ŞC. CU CLS.I-VIII” MIRCEA ELIADE ”)",26,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-13 12:52:15",1108,1097,3,7,1,479,471,0,7,1,465,14,1200,721,310,18,76,11,44,1,5
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” OCTAVIAN GOGA ” (ŞC. CU CLS.I-VIII” OCTAVIAN GOGA ”)",15,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:05",1383,1374,2,4,3,585,578,0,4,3,569,16,1500,915,321,37,99,12,91,4,5
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” OCTAVIAN GOGA ” (ŞC. CU CLS.I-VIII” OCTAVIAN GOGA ”)",14,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:33",1322,1312,3,5,2,575,568,0,5,2,564,11,1400,825,321,27,91,14,98,7,6
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” OCTAVIAN GOGA ” (ŞC. CU CLS.I-VIII” OCTAVIAN GOGA ”)",12,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:54:29",1185,1173,2,6,4,495,488,0,3,4,493,2,1300,805,358,16,60,11,43,0,5
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” OCTAVIAN GOGA ” (ŞC. CU CLS.I-VIII” OCTAVIAN GOGA ”)",13,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:16",1121,1118,0,3,0,470,467,0,3,0,455,15,1200,730,265,35,80,11,52,4,8
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” RÁKÓCZI FERENC ”",66,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:24:55",1218,1179,1,22,16,656,618,0,22,16,647,9,1403,747,555,14,29,15,30,1,3
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” RÁKÓCZI FERENC ”",67,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:53",1595,1565,8,11,11,841,819,0,11,11,829,12,1797,956,667,14,67,14,59,1,7
32,"SATU MARE","ȘCOALA GIMNAZIALĂ - SĂTMĂREL ( ŞC. CU CLS.I-VIII - SĂTMĂREL)",74,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:49:47",1199,1197,1,1,0,565,564,0,1,0,536,29,1398,833,234,47,167,16,59,3,10
32,"SATU MARE","SECŢIA DE DRUMURI NAŢIONALE",47,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:04:12",1708,1650,14,9,35,940,895,1,9,35,893,47,1900,960,595,28,130,27,96,6,11
32,"SATU MARE","UNIVERSITATEA TEHNICĂ CLUJ NAPOCA - FILIALA SATU MARE (GRĂDINIŢA CU PROGRAM NORMAL NR.21)",18,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:52:59",1749,1737,7,2,3,791,786,0,2,3,770,21,2000,1209,450,33,136,25,110,6,10
32,"SATU MARE","UNIVERSITATEA TEHNICĂ CLUJ NAPOCA - FILIALA SATU MARE (GRĂDINIŢA CU PROGRAM NORMAL NR.21)",19,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-12 15:24:26",1529,1516,2,8,3,678,667,0,8,3,658,20,1700,1022,356,53,105,18,107,4,15
